dataset_id,role,repo_relative_path,external_source_path,image_count,mask_count,split_count,tracked_by_git,git_policy,required_for_demo,required_for_training_reproduction,status,notes
old_photo_pairs_10_hq,external training dataset,,F:\deeplearning\old_photo_mask\old_photo_pairs_10_hq,68,60 thin / 60 repair_v1 / 15 manual,0,no,external_only_do_not_commit,no,yes,available_external_only,Research/training dataset only; do not commit full dataset.
r013_finetune_set,external final fine-tune dataset,,F:\deeplearning\r013_finetune_set-20260608T080800Z-3-001\r013_finetune_set,120,118 masks_fixed (121 raw masks),7,no,external_only_do_not_commit,no,yes,available_external_only,Missing masks_fixed for real_0099 and real_0112; do not commit full dataset.
div2k_train_hr,external clean image source,,F:\deeplearning\DIV2K_train_HR\DIV2K_train_HR,800,,0,no,external_only_do_not_commit,no,yes,available_external_only,Clean-image source for the synthetic lineage used in R006-R009.
div2k_valid_hr,external clean image validation source,,F:\deeplearning\DIV2K_valid_HR\DIV2K_valid_HR,100,,0,no,external_only_do_not_commit,no,yes,available_external_only,Validation clean-image source for the synthetic lineage used in R006-R009.
crackforest_dataset,external crack annotation source,,F:\deeplearning\_external_datasets\CrackForest-dataset,,393 files,0,no,external_only_do_not_commit,no,yes,available_external_only,External crack-source dataset used to derive crack bank assets for the synthetic lineage.
crack_bank_processed_rgba,processed crack asset bank,,F:\deeplearning\old_photo_restoration_2\data\crack_bank\processed\rgba,available_count_not_verified,available_count_not_verified,0,no,external_only_do_not_commit,no,yes,historical_evidence_only,Processed RGBA crack assets referenced by historical synthetic generation code; dataset payload remains external. Repository skeleton documents expected layout only.
ds-crack3d-512-n0200-v001,rejected historical synthetic dataset,,F:\deeplearning\old_photo_restoration_2\data\processed\ds-crack3d-512-n0200-v001,200,200 masks plus clean targets,0,no,external_only_do_not_commit,no,no,rejected_or_historical,Registry marked this dataset as rejected because mask ratio was too high and the crack source was not acceptable. Repository skeleton documents expected layout only.
ds-crack3d-512-n0200-v002,historical synthetic smoke dataset,,F:\deeplearning\old_photo_restoration_2\data\processed\ds-crack3d-512-n0200-v002,200,200 masks plus clean targets,0,no,external_only_do_not_commit,no,no,rejected_or_historical,Historical accepted synthetic dataset used for early smoke validation rather than the final synthetic pretraining lineage. Repository skeleton documents expected layout only.
ds-crack3d-512-n1000-v001,synthetic pretraining dataset,,F:\deeplearning\old_photo_restoration_2\data\processed\ds-crack3d-512-n1000-v001,1000,1000 masks plus clean targets,0,no,external_only_do_not_commit,no,yes,historical_evidence_only,Primary synthetic dataset for the R006-R009 lineage and the synthetic pretraining stage associated with R009. Repository skeleton documents expected layout only.
docs_assets_demo3,intentional docs assets,docs/assets/demo3,,1 contact sheet + 4 rendered images,,0,yes,tracked_small_docs_assets,yes,no,available,Tracked docs visuals used for README/docs presentation.
examples_golden_demo3,intentional golden sample,examples/golden/demo3_r013_repair_wide,,1 sample,1 final mask + 1 restored image + 1 metadata,0,yes,tracked_small_demo_assets,yes,no,available,Small golden case kept in Git for smoke/regression explanation.
examples_outputs_runtime,ignored runtime outputs,examples/outputs,,runtime snapshots,not a dataset,0,no,ignored_runtime_outputs_do_not_commit,no,no,available_local_only,Local runtime outputs may exist but are ignored and should not be committed.
