artifact_id,run_id,module,artifact_type,role,repo_relative_path,external_source_path,expected_sha256,size_bytes,exists_in_local_workspace,tracked_by_git,git_policy,required_for_demo,required_for_training_reproduction,status,notes
module1_r006_historical_checkpoint,R006,module1_segmentation,checkpoint,historical synthetic baseline,checkpoints/segmenter/seg-unet-attn-r006-long50-s42/README.md,local_path_redacted,,,no,no,local_ignored_do_not_commit,no,no,missing_binary_or_evidence_only,Experiment-run canonical name: seg-unet-attn-r006-long50-s42. No binary found in audit.
module1_r007_historical_checkpoint,R007,module1_segmentation,checkpoint,historical synthetic augmentation,checkpoints/segmenter/seg-unet-attn-r007-aug-s42/README.md,local_path_redacted,,,no,no,local_ignored_do_not_commit,no,no,missing_binary_or_evidence_only,Experiment-run canonical name: seg-unet-attn-r007-aug-s42. No binary found in audit.
module1_r008_historical_checkpoint,R008,module1_segmentation,checkpoint,historical synthetic imbalance correction,checkpoints/segmenter/seg-unet-attn-r008-aug-tversky03-07-s42/README.md,local_path_redacted,,,no,no,local_ignored_do_not_commit,no,no,missing_binary_or_evidence_only,Experiment-run canonical name: seg-unet-attn-r008-aug-tversky03-07-s42. No binary found in audit.
module1_r009_init_checkpoint,R009,module1_segmentation,checkpoint,synthetic init,checkpoints/segmenter/seg-unet-attn-r009-aug-tversky03-07-ep60-s42/best_iou.ckpt,local_path_redacted,d8d84d0f430d1df756d4156fd13555e819dadbc1dd738655cab6dbcdffa6aeeb,1584609,no,no,local_ignored_do_not_commit,no,yes,available_external_only,Experiment-run canonical name: seg-unet-attn-r009-aug-tversky03-07-ep60-s42.
module1_r010_repro_checkpoint,R010_REPRO,module1_segmentation,checkpoint,reproduction lineage,checkpoints/segmenter/seg-unet-attn-r010-real-ft-s42/best_iou.ckpt,local_path_redacted,0b4551b1b262b5e189594626f0def6e213caf588ae79e85b66d2d4076ccad5c8,1584210,no,no,local_ignored_do_not_commit,no,yes,available_external_only,Experiment-run canonical name: seg-unet-attn-r010-real-ft-s42.
module1_r011_repro_checkpoint,R011_REPRO,module1_segmentation,checkpoint,reproduction lineage and R013 init,checkpoints/segmenter/seg-unet-attn-r011-repair-ft-s42/best_iou.ckpt,local_path_redacted,33631287003eccfaaaaff47d75491760609d218c6df79d05a6c29f4b0e5120db,1584210,no,no,local_ignored_do_not_commit,no,yes,available_external_only,Experiment-run canonical name: seg-unet-attn-r011-repair-ft-s42.
module1_r012_repro_checkpoint,R012_REPRO,module1_segmentation,checkpoint,experimental manual-mask repro,checkpoints/segmenter/seg-unet-attn-r012-manual-repair-ft-s42/best_iou.ckpt,local_path_redacted,7cdfa0e50be5081919c16629095a47d1ba456de6a5233467156fcc13c7ff24a7,1584210,no,no,local_ignored_do_not_commit,no,no,available_external_only,Experiment-run canonical name: seg-unet-attn-r012-manual-repair-ft-s42.
module1_r013_local_workspace_checkpoint,R013_REPRO,module1_segmentation,checkpoint,final Module 1 local operational checkpoint,checkpoints/segmenter/seg-unet-attn-r013-gen120-fixed118-local/best_val_iou.pth,local_path_redacted,a63381ade991cb936e2262e80fa6001c3a1fe9d10b1075be0d3c7f617c0a5725,1585714,yes,no,local_ignored_do_not_commit,yes,no,available_local_ignored_current,Experiment-run canonical name: seg-unet-attn-r013-gen120-fixed118-local. Selected current Module 1 segmenter.
module1_r013_external_repro_checkpoint,R013_REPRO,module1_segmentation,checkpoint,final Module 1 external source of truth,,local_path_redacted,5f3b340e38eba8290d2b8ca030bb51126308169f4e42087f46ddac0334e74203,1585714,no,no,external_only_do_not_commit,no,yes,available_external_only,External source-of-truth checkpoint used for provenance and training reproduction.

